Size,EntryBar,ExitBar, EntryPrice , ExitPrice ,PnL,ReturnPct,EntryTime,ExitTime,Duration
-1,219,250," 113,389 "," 114,649 ",-1259.9209,-0.011111519,10/28/2025 3:45,10/28/2025 11:30,0 days 07:45:00
1,269,281," 115,329 "," 113,972 ",-1357.564,-0.011771179,10/28/2025 16:15,10/28/2025 19:15,0 days 03:00:00
1,282,285," 114,173 "," 112,752 ",-1420.7875,-0.012444178,10/28/2025 19:30,10/28/2025 20:15,0 days 00:45:00
1,291,305," 113,589 "," 112,155 ",-1434.1378,-0.012625703,10/28/2025 21:45,10/29/2025 1:15,0 days 03:30:00
1,323,354," 113,628 "," 113,546 ",-81.3996,-0.000716372,10/29/2025 5:45,10/29/2025 13:30,0 days 07:45:00
-1,354,361," 113,092 "," 112,271 ",821.0152,0.00725971,10/29/2025 13:30,10/29/2025 15:15,0 days 01:45:00
1,361,364," 112,720 "," 111,323 ",-1396.788,-0.012391652,10/29/2025 15:15,10/29/2025 16:00,0 days 00:45:00
1,367,374," 111,766 "," 110,391 ",-1374.5897,-0.012298864,10/29/2025 16:45,10/29/2025 18:30,0 days 01:45:00
1,377,378," 111,743 "," 110,310 ",-1432.8872,-0.012823061,10/29/2025 19:15,10/29/2025 19:30,0 days 00:15:00
1,382,394," 111,791 "," 110,286 ",-1504.6892,-0.01345982,10/29/2025 20:30,10/29/2025 23:30,0 days 03:00:00
1,426,433," 111,717 "," 110,166 ",-1551.2241,-0.013885302,10/30/2025 7:30,10/30/2025 9:15,0 days 01:45:00
1,448,465," 108,823 "," 107,230 ",-1593.2022,-0.014640327,10/30/2025 13:00,10/30/2025 17:15,0 days 04:15:00
1,497,633," 110,199 "," 110,188 ",-10.4388,-9.47E-05,10/31/2025 1:15,11/1/2025 11:15,1 days 10:00:00
-1,633,643," 109,748 "," 109,784 ",-36.4532,-0.000332155,11/1/2025 11:15,11/1/2025 13:45,0 days 02:30:00
1,643,649," 110,223 "," 110,193 ",-29.836,-0.000270687,11/1/2025 13:45,11/1/2025 15:15,0 days 01:30:00
-1,649,749," 109,753 "," 109,830 ",-77.4732,-0.00070589,11/1/2025 15:15,11/2/2025 16:15,1 days 01:00:00
1,749,753," 110,269 "," 110,225 ",-44.82,-0.000406459,11/2/2025 16:15,11/2/2025 17:15,0 days 01:00:00
-1,753,762," 109,784 "," 109,970 ",-186.498,-0.001698778,11/2/2025 17:15,11/2/2025 19:30,0 days 02:15:00
1,762,778," 110,410 "," 110,190 ",-220.1804,-0.001994207,11/2/2025 19:30,11/2/2025 23:30,0 days 04:00:00
-1,778,784," 109,749 "," 109,770 ",-20.8592,-0.000190063,11/2/2025 23:30,11/3/2025 1:00,0 days 01:30:00
1,784,790," 110,209 "," 109,200 ",-1008.7041,-0.009152649,11/3/2025 1:00,11/3/2025 2:30,0 days 01:30:00
1,791,792," 109,279 "," 108,260 ",-1019.4724,-0.009329038,11/3/2025 2:45,11/3/2025 3:00,0 days 00:15:00
1,865,897," 106,985 "," 105,655 ",-1330.1819,-0.01243331,11/3/2025 21:15,11/4/2025 5:15,0 days 08:00:00
1,1109,1129," 103,296 "," 102,222 ",-1073.5372,-0.010392841,11/6/2025 10:15,11/6/2025 15:15,0 days 05:00:00
-1,1129,1138," 101,813 "," 101,419 ",394.6108,0.003875823,11/6/2025 15:15,11/6/2025 17:30,0 days 02:15:00
1,1138,1190," 101,824 "," 102,250 ",425.5248,0.004179003,11/6/2025 17:30,11/7/2025 6:30,0 days 13:00:00
-1,1190,1206," 101,841 "," 100,674 ",1167,0.011459039,11/7/2025 6:30,11/7/2025 10:30,0 days 04:00:00
1,1206,1215," 101,077 "," 99,408 ",-1668.3835,-0.016506114,11/7/2025 10:30,11/7/2025 12:45,0 days 02:15:00
1,1227,1236," 101,067 "," 102,390 ",1323.2424,0.013092717,11/7/2025 15:45,11/7/2025 18:00,0 days 02:15:00
-1,1236,1242," 101,981 "," 102,854 ",-872.8612,-0.008559079,11/7/2025 18:00,11/7/2025 19:30,0 days 01:30:00
1,1242,1249," 103,265 "," 103,449 ",183.9856,0.001781684,11/7/2025 19:30,11/7/2025 21:15,0 days 01:45:00
-1,1249,1263," 103,035 "," 102,892 ",142.804,0.001385973,11/7/2025 21:15,11/8/2025 0:45,0 days 03:30:00
1,1263,1287," 103,304 "," 102,404 ",-899.8696,-0.008710891,11/8/2025 0:45,11/8/2025 6:45,0 days 06:00:00
-1,1287,1368," 101,994 "," 101,642 ",352.9836,0.003460811,11/8/2025 6:45,11/9/2025 3:00,0 days 20:15:00
1,1368,1401," 102,048 "," 102,195 ",146.934,0.001439851,11/9/2025 3:00,11/9/2025 11:15,0 days 08:15:00
-1,1401,1412," 101,786 "," 102,915 ",-1128.28,-0.011084801,11/9/2025 11:15,11/9/2025 14:00,0 days 02:45:00
1,1412,1414," 103,326 "," 103,871 ",544.442,0.005269159,11/9/2025 14:00,11/9/2025 14:30,0 days 00:30:00
-1,1414,1434," 103,455 "," 104,826 ",-1371.2614,-0.01325465,11/9/2025 14:30,11/9/2025 19:30,0 days 05:00:00
-1,1438,1439," 104,084 "," 104,540 ",-455.1096,-0.004372506,11/9/2025 20:30,11/9/2025 20:45,0 days 00:15:00
